block_id,write_us,write_interval_ms,source_ring_before_samples,source_ring_after_samples,driver_depth_before,driver_depth_after
281,1.100000,20.033500,15360,14400,1,2
282,0.900000,20.020300,15360,14400,1,2
283,0.700000,20.024400,15360,14400,1,2
284,0.900000,20.015300,15360,14400,1,2
285,0.800000,20.018500,15360,14400,1,2
286,1.100000,20.021200,15360,14400,1,2
287,0.700000,20.017200,15360,14400,1,2
288,0.900000,20.093100,15360,14400,1,2
289,0.600000,20.021700,15360,14400,1,2
290,0.900000,20.051600,15360,14400,1,2
291,0.900000,20.122100,15360,14400,1,2
292,0.500000,20.027500,15360,14400,1,2
293,0.700000,20.077200,15360,14400,1,2
294,1.000000,20.028800,15360,14400,1,2
295,1.000000,20.061800,15360,14400,1,2
296,1.100000,20.038400,15360,14400,1,2
297,0.900000,20.018700,15360,14400,1,2
298,0.500000,20.034500,15360,14400,1,2
299,0.700000,19.119800,15360,14400,1,2
300,0.700000,20.088800,15360,14400,1,2
301,1.000000,20.130500,15360,14400,1,2
302,0.800000,20.059900,15360,14400,1,2
303,0.800000,20.187600,15360,14400,1,2
304,0.500000,20.047600,15360,14400,1,2
305,0.900000,20.052800,15360,14400,1,2
306,1.100000,20.027000,15360,14400,1,2
307,0.900000,20.035300,15360,14400,1,2
308,1.200000,20.028100,15360,14400,1,2
309,0.800000,20.016900,15360,14400,1,2
310,0.800000,20.021200,15360,14400,1,2
311,1.000000,20.019200,15360,14400,1,2
312,1.100000,20.025000,15360,14400,1,2
313,0.700000,20.024700,15360,14400,1,2
314,1.000000,20.028500,15360,14400,1,2
315,0.600000,20.019500,15360,14400,1,2
316,1.100000,20.041500,15360,14880,1,2
317,1.000000,20.027900,15360,14400,1,2
318,0.300000,20.020300,15360,14400,1,2
319,0.600000,19.136400,15360,14400,1,2
320,1.100000,20.024000,15360,14400,1,2
321,0.900000,20.097300,15360,14400,1,2
322,0.800000,20.047900,15360,14400,1,2
323,0.900000,20.027800,15360,14400,1,2
324,1.300000,20.036100,15360,14880,1,2
325,1.000000,20.092900,15360,14880,1,2
326,1.000000,20.062900,15360,14400,1,2
327,0.800000,20.060000,15360,14400,1,2
328,1.500000,20.067000,15360,14400,1,2
329,0.900000,20.078600,15360,14880,1,2
330,1.000000,20.028000,15360,14400,1,2
331,1.100000,20.201500,15360,14400,1,2
332,0.700000,20.023600,15360,14400,1,2
333,0.800000,20.044100,15360,14400,1,2
334,0.800000,19.021600,15360,14400,1,2
335,0.900000,20.099500,15360,14400,1,2
336,0.800000,20.017100,15360,14400,1,2
337,1.000000,20.020900,15360,14400,1,2
338,1.000000,20.027100,15360,14400,1,2
339,1.200000,20.023000,15360,14400,1,2
340,0.600000,20.034700,15360,14400,1,2
341,0.800000,20.017900,15360,14400,1,2
342,0.800000,20.015900,15360,14400,1,2
343,0.700000,20.016400,15360,14400,1,2
344,0.700000,20.017500,15360,14400,1,2
345,0.700000,20.020800,15360,14400,1,2
346,0.800000,20.016600,15360,14400,1,2
347,0.800000,20.149900,15360,14400,1,2
348,0.800000,20.021400,15360,14400,1,2
349,0.700000,20.043900,15360,14400,1,2
350,1.000000,20.126500,15360,14400,1,2
351,1.100000,20.024700,15360,14880,1,2
352,0.700000,20.020400,15360,14400,1,2
353,0.600000,20.018200,15360,14400,1,2
354,0.900000,20.177600,15360,14400,1,2
355,0.800000,20.031000,15360,14400,1,2
356,6.000000,19.080800,15360,14400,1,2
357,0.900000,20.158400,15360,14400,1,2
358,0.800000,20.095400,15360,14400,1,2
359,0.700000,20.019300,15360,14400,1,2
360,0.700000,20.061000,15360,14400,1,2
361,0.900000,20.030200,15360,14400,1,2
362,0.600000,20.020000,15360,14400,1,2
363,0.800000,20.026800,15360,14400,1,2
364,0.800000,20.027000,15360,14400,1,2
365,0.900000,20.064300,15360,14400,1,2
366,0.800000,20.033000,15360,14400,1,2
367,0.700000,20.019600,15360,14400,1,2
368,0.700000,20.096600,15360,14400,1,2
369,0.800000,20.018000,15360,14400,1,2
370,0.700000,20.019400,15360,14400,1,2
371,0.800000,20.031800,15360,14400,1,2
372,0.700000,20.017500,15360,14400,1,2
373,0.800000,20.030300,15360,14400,1,2
374,0.700000,20.039100,15360,14400,1,2
375,0.700000,20.030000,15360,14400,1,2
376,0.800000,20.016900,15360,14400,1,2
377,1.000000,20.031700,15360,14400,1,2
378,0.900000,20.042400,15360,14400,1,2
379,0.900000,19.182200,15360,14400,1,2
380,0.800000,20.035100,15360,14400,1,2
381,0.800000,20.078400,15360,14400,1,2
382,0.800000,20.047200,15360,14400,1,2
383,14.700000,20.031400,15360,14400,1,2
384,0.700000,20.034200,15360,14400,1,2
385,1.100000,20.023000,15360,14400,1,2
386,0.900000,20.037700,15360,14400,1,2
387,1.000000,20.024300,15360,14400,1,2
388,0.700000,20.020300,15360,14400,1,2
389,1.100000,20.089300,15360,14400,1,2
390,0.800000,20.048900,15360,14400,1,2
391,1.200000,20.028600,15360,14400,1,2
392,0.800000,20.021500,15360,14400,1,2
393,0.900000,20.019400,15360,14400,1,2
394,0.800000,20.119800,15360,14400,1,2
395,1.300000,20.034400,15360,14400,1,2
396,1.000000,20.032500,15360,14400,1,2
397,1.300000,19.164000,15360,14880,1,2
398,0.900000,20.055700,15360,14400,1,2
399,0.600000,20.033900,15360,14400,1,2
400,0.700000,20.167700,15360,14400,1,2
401,0.800000,20.020100,15360,14400,1,2
402,0.700000,20.019200,15360,14400,1,2
403,0.600000,20.016800,15360,14400,1,2
404,0.800000,20.018400,15360,14400,1,2
405,1.000000,20.024800,15360,14400,1,2
406,0.800000,20.021100,15360,14400,1,2
407,1.100000,20.035700,15360,14400,1,2
408,0.800000,20.019400,15360,14400,1,2
409,0.900000,20.018000,15360,14400,1,2
410,0.700000,20.143100,15360,14400,1,2
411,0.600000,20.019100,15360,14400,1,2
412,0.800000,20.042300,15360,14400,1,2
413,0.600000,20.020600,15360,14400,1,2
414,0.700000,20.178700,15360,14400,1,2
415,0.800000,20.063200,15360,14400,1,2
416,0.600000,19.137300,15360,14400,1,2
417,0.800000,20.081300,15360,14400,1,2
418,0.800000,20.021600,15360,14400,1,2
419,0.500000,20.071000,15360,14400,1,2
420,1.200000,20.025400,15360,14400,1,2
421,0.800000,20.018800,15360,14400,1,2
422,1.100000,20.037300,15360,14400,1,2
423,0.800000,20.026800,15360,14400,1,2
424,0.900000,20.127800,15360,14400,1,2
425,0.800000,20.026800,15360,14400,1,2
426,0.900000,20.019600,15360,14400,1,2
427,1.000000,20.096400,15360,14400,1,2
428,1.000000,20.231300,15360,14400,1,2
429,1.300000,20.058500,15360,14400,1,2
430,0.800000,19.165900,15360,14400,1,2
431,0.800000,20.021300,15360,14400,1,2
432,1.300000,20.035800,15360,14400,1,2
433,1.100000,20.043000,15360,14400,1,2
434,1.000000,20.022600,15360,14400,1,2
435,1.000000,20.120800,15360,14400,1,2
436,0.900000,20.027700,15360,14400,1,2
437,0.900000,20.109800,15360,14400,1,2
438,0.800000,20.021000,15360,14400,1,2
439,1.200000,20.078500,15360,14400,1,2
440,1.000000,20.020900,15360,14400,1,2
441,0.800000,20.027000,15360,14400,1,2
442,0.900000,20.144300,15360,14400,1,2
443,0.700000,20.045300,15360,14400,1,2
444,0.700000,20.069800,15360,14400,1,2
445,0.900000,20.019100,15360,14400,1,2
446,0.800000,20.027000,15360,14400,1,2
447,1.100000,20.073600,15360,14880,1,2
448,1.000000,19.194600,15360,14880,1,2
449,1.000000,20.129800,15360,14400,1,2
450,0.600000,20.090200,15360,14400,1,2
451,1.000000,20.024100,15360,14400,1,2
452,1.000000,20.051500,15360,14400,1,2
453,0.700000,20.113400,15360,14400,1,2
454,1.100000,20.032500,15360,14400,1,2
455,0.700000,20.063500,15360,14400,1,2
456,0.700000,20.023000,15360,14400,1,2
457,1.200000,20.037500,15360,14400,1,2
458,0.800000,20.056500,15360,14400,1,2
459,0.700000,20.019400,15360,14400,1,2
460,0.700000,20.018100,15360,14400,1,2
461,0.900000,20.067500,15360,14400,1,2
462,0.800000,20.032800,15360,14400,1,2
463,0.800000,19.078300,15360,14400,1,2
464,0.800000,20.195700,15360,14400,1,2
465,1.100000,20.027900,15360,14400,1,2
466,0.800000,20.115000,15360,14400,1,2
467,1.100000,20.068000,15360,14400,1,2
468,0.700000,20.022600,15360,14400,1,2
469,0.600000,20.062200,15360,14400,1,2
470,0.900000,20.055600,15360,14400,1,2
471,1.200000,20.044100,15360,14400,1,2
472,0.700000,20.103700,15360,14400,1,2
473,1.400000,20.025600,15360,14400,1,2
474,0.900000,20.113300,15360,14400,1,2
475,0.800000,20.029300,15360,14400,1,2
476,0.600000,20.046500,15360,14400,1,2
477,0.600000,19.071200,15360,14400,1,2
478,0.800000,20.030500,15360,14400,1,2
479,1.200000,20.032000,15360,14400,1,2
480,0.500000,20.030000,15360,14400,1,2
481,1.100000,20.032400,15360,14400,1,2
482,15.400000,20.049400,15360,14400,1,2
483,1.100000,20.045200,15360,14400,1,2
484,0.900000,20.022600,15360,14400,1,2
485,1.000000,20.025500,15360,14400,1,2
486,0.800000,20.018900,15360,14400,1,2
487,0.800000,20.050900,15360,14400,1,2
488,1.300000,20.037000,15360,14400,1,2
489,0.800000,20.275900,15360,14400,1,2
490,0.900000,20.023100,15360,14400,1,2
491,0.700000,20.040200,15360,14880,1,2
492,1.200000,20.101500,15360,14400,1,2
493,0.900000,20.029700,15360,14400,1,2
494,0.900000,20.027500,15360,14400,1,2
495,0.900000,20.048300,15360,14400,1,2
496,0.600000,19.267300,15360,14400,1,2
497,0.900000,20.149500,15360,14400,1,2
498,1.000000,20.023300,15360,14400,1,2
499,0.600000,20.156000,15360,14400,1,2
500,0.800000,20.023800,15360,14400,1,2
501,0.500000,20.024400,15360,14400,1,2
502,0.700000,20.026900,15360,14400,1,2
503,0.900000,20.027000,15360,14400,1,2
504,1.000000,20.069300,15360,14400,1,2
505,0.900000,20.032700,15360,14400,1,2
506,0.900000,20.024500,15360,14400,1,2
507,0.800000,20.027500,15360,14400,1,2
508,0.800000,20.021300,15360,14400,1,2
509,0.800000,20.081600,15360,14400,1,2
510,0.700000,20.029100,15360,14400,1,2
511,1.200000,19.101100,15360,14400,1,2
512,0.500000,20.018300,15360,14400,1,2
513,0.700000,20.072200,15360,14400,1,2
514,0.900000,20.023100,15360,14400,1,2
515,0.500000,20.023200,15360,14400,1,2
516,0.800000,20.081900,15360,14400,1,2
517,0.900000,20.023400,15360,14400,1,2
518,0.900000,20.051800,15360,14400,1,2
519,0.800000,20.019800,15360,14400,1,2
520,0.900000,20.135600,15360,14400,1,2
521,1.100000,20.047400,15360,14400,1,2
522,0.900000,20.131700,15360,14400,1,2
523,0.700000,20.024700,15360,14400,1,2
524,0.800000,20.017900,15360,14400,1,2
525,0.700000,20.140000,15360,14400,1,2
526,1.000000,20.208700,15360,14400,1,2
527,0.600000,19.028900,15360,14400,1,2
528,1.300000,20.035600,15360,14400,1,2
529,1.000000,20.020500,15360,14400,1,2
530,0.400000,20.169400,15360,14400,1,2
531,0.600000,20.026300,15360,14400,1,2
532,0.900000,20.022100,15360,14400,1,2
533,0.900000,20.026400,15360,14400,1,2
534,0.500000,20.462500,15360,14400,1,2
535,0.800000,20.018800,15360,14400,1,2
536,0.600000,20.021800,15360,14400,1,2
537,0.700000,20.067800,15360,14400,1,2
538,0.700000,19.104100,15360,14400,1,2
539,0.800000,20.024000,15360,14400,1,2
540,0.800000,20.017800,15360,14400,1,2
541,0.800000,20.019400,15360,14400,1,2
542,0.600000,20.048200,15360,14400,1,2
543,0.800000,20.301500,15360,14400,1,2
544,0.700000,20.020100,15360,14400,1,2
545,1.000000,20.097200,15360,14400,1,2
546,0.800000,20.042700,15360,14400,1,2
547,0.700000,20.021300,15360,14400,1,2
548,0.800000,20.024600,15360,14400,1,2
549,0.800000,20.017300,15360,14400,1,2
550,0.900000,20.063300,15360,14880,1,2
551,1.000000,20.145600,15360,14400,1,2
552,0.800000,20.019000,15360,14400,1,2
553,1.300000,19.111400,15360,14400,1,2
554,1.100000,20.059600,15360,14400,1,2
555,0.700000,20.022600,15360,14400,1,2
556,0.800000,20.028200,15360,14400,1,2
557,0.900000,20.099700,15360,14880,1,2
558,0.800000,20.031800,15360,14400,1,2
559,1.000000,20.029600,15360,14880,1,2
560,0.700000,20.064700,15360,14400,1,2
561,0.700000,20.047700,15360,14400,1,2
562,1.500000,20.057600,15360,14400,1,2
563,0.600000,20.174100,15360,14400,1,2
564,0.500000,20.021100,15360,14400,1,2
565,0.800000,20.043600,15360,14400,1,2
566,0.800000,20.070100,15360,14400,1,2
567,0.600000,20.047200,15360,14400,1,2
568,0.900000,20.047400,15360,14400,1,2
569,0.600000,20.027000,15360,14400,1,2
570,1.200000,20.045400,15360,14400,1,2
571,0.600000,20.021400,15360,14400,1,2
572,1.300000,20.041700,15360,14400,1,2
573,0.600000,19.036700,15360,14400,1,2
574,0.600000,20.028100,15360,14400,1,2
575,0.800000,20.028800,15360,14400,1,2
576,1.200000,20.031600,15360,14400,1,2
577,0.900000,20.042600,15360,15360,1,2
578,0.700000,20.093900,15360,14400,1,2
579,0.800000,20.037600,15360,14400,1,2
580,0.700000,20.031900,15360,15360,1,2
581,0.500000,20.046900,15360,14400,1,2
582,0.500000,20.046800,15360,14400,1,2
583,0.700000,20.081100,15360,14400,1,2
584,1.000000,20.046600,15360,14400,1,2
585,0.600000,20.033400,15360,14400,1,2
586,0.900000,20.029900,15360,14400,1,2
587,0.700000,20.028500,15360,14400,1,2
588,0.600000,20.026100,15360,14400,1,2
589,0.700000,20.024400,15360,14400,1,2
590,1.000000,20.062100,15360,14400,1,2
591,0.800000,20.065300,15360,14400,1,2
592,0.800000,20.028400,15360,14400,1,2
593,1.200000,20.033100,15360,14400,1,2
594,0.700000,20.021800,15360,14400,1,2
595,0.900000,20.031300,15360,14400,1,2
596,0.400000,20.020900,15360,14400,1,2
597,0.600000,20.030600,15360,14400,1,2
598,0.700000,19.089100,15360,14400,1,2
599,0.600000,20.018500,15360,14400,1,2
600,0.700000,20.026000,15360,14400,1,2
601,0.800000,20.034500,15360,14400,1,2
602,0.500000,20.031200,15360,14400,1,2
603,0.700000,20.025600,15360,14880,1,2
604,0.700000,20.036100,15360,14400,1,2
605,1.100000,20.018700,15360,14400,1,2
606,1.000000,20.050700,15360,14400,1,2
607,0.700000,19.761200,15360,14400,1,2
608,0.800000,20.037900,15360,14400,1,2
609,0.700000,20.186400,15360,14400,1,2
610,0.700000,20.018800,15360,14400,1,2
611,0.600000,20.077800,15360,14400,1,2
612,0.900000,20.021700,15360,14400,1,2
613,0.800000,20.023700,15360,14400,1,2
614,0.700000,20.027300,15360,14400,1,2
615,0.900000,20.028000,15360,14400,1,2
616,0.900000,20.021500,15360,14400,1,2
617,0.800000,20.019300,15360,14400,1,2
618,0.700000,20.017800,15360,14400,1,2
619,0.700000,20.016000,15360,14400,1,2
620,0.700000,20.132300,15360,14400,1,2
621,1.200000,20.028000,15360,14400,1,2
622,0.800000,20.086800,15360,14400,1,2
623,0.900000,20.045400,15360,14400,1,2
624,0.800000,20.025900,15360,14400,1,2
625,0.800000,20.021600,15360,14400,1,2
