frame_id,proc_us,push_wait_us,ring_after_samples
716,536.400000,18647.800000,14880
717,550.500000,1.300000,15360
718,399.000000,19046.300000,14880
719,538.900000,1.000000,15360
720,319.300000,19137.600000,14880
721,626.500000,1.500000,15360
722,357.100000,18970.100000,14880
723,497.700000,1.400000,15360
724,321.100000,19196.100000,14880
725,498.800000,1.400000,15360
726,351.600000,19341.500000,14880
727,508.800000,1.300000,15360
728,329.700000,19238.200000,14880
729,445.800000,1.300000,15360
730,301.100000,19305.000000,14880
731,529.600000,1.200000,15360
732,322.300000,19201.600000,14880
733,580.800000,1.300000,15360
734,321.400000,19071.400000,14880
735,550.700000,1.300000,15360
736,338.900000,19153.000000,14880
737,2500.700000,1.800000,15360
738,884.500000,16648.100000,14880
739,1367.000000,1.400000,15360
740,1206.900000,17605.300000,14880
741,1403.900000,1.400000,15360
742,1222.200000,17383.400000,14880
743,1302.700000,1.400000,15360
744,1158.200000,16635.500000,14880
745,1433.200000,1.400000,15360
746,1248.100000,17502.000000,14880
747,1435.900000,1.400000,15360
748,1104.000000,17590.300000,14880
749,2923.100000,1.600000,15360
750,979.000000,16043.800000,14880
751,2207.200000,1.900000,15360
752,1165.700000,16665.900000,14880
753,2510.200000,2.700000,15360
754,2144.600000,15332.400000,14880
755,1589.200000,1.400000,15360
756,1318.100000,17123.900000,14880
757,2182.000000,1.600000,15360
758,911.300000,16941.600000,14880
759,2382.200000,2.800000,15360
760,2443.700000,15203.500000,14880
761,2406.200000,2.500000,15360
762,1935.900000,15690.500000,14880
763,2459.900000,2.400000,15360
764,2182.500000,15375.600000,14880
765,1695.900000,1.800000,15360
766,1171.400000,17165.900000,14880
767,1957.600000,1.600000,15360
768,1444.200000,16686.600000,14880
769,2801.100000,2.700000,15360
770,1436.100000,15767.500000,14880
771,2585.900000,2.100000,15360
772,1126.700000,16312.200000,14880
773,2537.300000,2.700000,15360
774,1296.400000,16225.900000,14880
775,1474.600000,1.700000,15360
776,1185.500000,17313.800000,14880
777,1334.100000,1.500000,15360
778,1220.000000,17506.600000,14880
779,2376.600000,1.700000,15360
780,1135.100000,16496.700000,14880
781,2557.400000,1.800000,15360
782,1217.200000,16246.400000,14880
783,1522.700000,1.700000,15360
784,1248.400000,17241.800000,14880
785,1441.100000,1.500000,15360
786,1259.300000,17361.900000,14880
787,2080.700000,1.600000,15360
788,1015.400000,16896.900000,14880
789,1382.800000,1.300000,15360
790,1541.800000,16270.200000,14880
791,3244.500000,3.100000,15360
792,1494.200000,15293.200000,14880
793,1411.000000,1.400000,15360
794,1326.900000,17369.300000,14880
795,2687.200000,2.400000,15360
796,2211.500000,15112.500000,14880
797,2036.900000,2.000000,15360
798,1298.000000,16740.400000,14880
799,1773.100000,1.600000,15360
800,1237.500000,16958.500000,14880
801,2570.800000,2.500000,15360
802,2147.600000,15312.200000,14880
803,2523.000000,2.800000,15360
804,2022.300000,15465.800000,14880
805,1544.500000,1.900000,15360
806,1331.100000,17148.300000,14880
807,2459.800000,2.300000,15360
808,1691.900000,15867.600000,14880
809,1829.500000,1.900000,15360
810,1350.000000,16903.300000,14880
811,2169.800000,2.400000,15360
812,1815.800000,16101.200000,14880
813,2164.400000,2.500000,15360
814,1448.300000,16407.600000,14880
815,1446.300000,1.600000,15360
816,1255.500000,17290.200000,14880
817,1545.000000,1.700000,15360
818,1261.500000,17199.500000,14880
819,2301.700000,2.500000,15360
820,1155.000000,16689.000000,14880
821,2587.300000,2.500000,15360
822,1053.100000,16384.300000,14880
823,2303.700000,3.000000,15360
824,1840.500000,15940.300000,14880
825,1575.100000,2.200000,15360
826,1339.300000,16142.900000,14880
827,1430.300000,1.700000,15360
828,1228.500000,17439.500000,14880
829,2090.200000,2.100000,15360
830,1338.700000,16558.900000,14880
831,2153.600000,1.400000,15360
832,1051.700000,17008.900000,14880
833,2032.600000,2.200000,15360
834,1276.800000,16671.800000,14880
835,2226.500000,2.400000,15360
836,1168.100000,16618.500000,14880
837,817.500000,2.200000,15360
838,1730.300000,17450.200000,14880
839,457.400000,1.100000,15360
840,300.200000,19256.000000,14880
841,589.800000,2.200000,15360
842,414.300000,19019.400000,14880
843,774.600000,2.400000,15360
844,1688.300000,17592.800000,14880
845,2000.400000,1.900000,15360
846,1362.200000,16628.400000,14880
847,1378.500000,1.500000,15360
848,1145.400000,17494.900000,14880
849,1711.000000,1.800000,15360
850,1229.400000,17221.200000,14880
851,2026.900000,1.900000,15360
852,1255.100000,16825.200000,14880
853,1383.500000,1.300000,15360
854,1183.100000,17377.000000,14880
855,1459.800000,1.900000,15360
856,1226.900000,17350.000000,14880
857,1359.100000,1.400000,15360
858,1187.800000,17525.900000,14880
859,1443.300000,1.600000,15360
860,1371.300000,17302.700000,14880
861,2323.300000,1.700000,15360
862,831.900000,16945.900000,14880
863,1524.800000,1.600000,15360
864,1285.100000,16282.300000,14880
865,1521.200000,1.900000,15360
866,1224.400000,17335.600000,14880
867,2319.300000,2.600000,15360
868,1132.100000,16578.300000,14880
