tempo_s,clean,clean_empilhado,noisy,noisy_empilhado,stft_subtraction,stft_subtraction_empilhado,stft_wiener,stft_wiener_empilhado,wavelet_soft,wavelet_soft_empilhado
0.726125,0.13123234,3.1312323,0.26060301,1.260603,0.176126,-0.823874,0.21256585,-2.7874341,0.043062519,-4.9569373
0.73075,-0.11090658,2.8890934,-0.10156772,0.89843225,-0.10770207,-1.107702,-0.11130333,-3.1113033,0.021027694,-4.9789724
0.735375,-0.035951559,2.9640484,-0.058322091,0.94167793,-0.059939608,-1.0599396,-0.067630425,-3.0676305,-0.051089052,-5.0510893
0.74,-0.15058146,2.8494186,0.16849622,1.1684963,0.035035979,-0.96496403,0.068088219,-2.9319117,-0.001861668,-5.0018616
0.744625,-0.10800726,2.8919928,-0.29435715,0.70564282,-0.17273837,-1.1727383,-0.20362374,-3.2036238,-0.12485383,-5.1248536
0.74925,-0.030854858,2.9691451,-0.013550501,0.98644948,0.010223915,-0.98977607,0.013489462,-2.9865105,-0.052370857,-5.052371
0.753875,-0.054415639,2.9455843,-0.12387721,0.87612277,-0.023865972,-1.0238659,-0.015869956,-3.0158699,-0.057101324,-5.0571012
0.7585,-0.18830314,2.8116968,-0.29972854,0.70027149,-0.19370504,-1.1937051,-0.23615716,-3.2361572,-0.16678715,-5.1667871
0.763125,-0.0039980081,2.996002,-0.047701426,0.95229858,-0.028687999,-1.028688,-0.024659472,-3.0246594,-0.086521775,-5.0865216
0.76775,-0.17429486,2.8257051,-0.25980949,0.74019051,-0.091832109,-1.0918322,-0.12595253,-3.1259525,0.093693778,-4.9063063
0.772375,-0.063266195,2.9367337,-0.16019501,0.83980501,-0.068332374,-1.0683324,-0.082035467,-3.0820355,-0.11295137,-5.1129513
0.777,-0.044374842,2.9556251,-0.13309401,0.86690599,-0.099889167,-1.0998892,-0.11331759,-3.1133175,-0.14139523,-5.1413951
0.781625,-0.06018376,2.9398162,-0.20148741,0.79851258,-0.079105631,-1.0791056,-0.10913647,-3.1091366,-0.015473208,-5.0154734
0.78625,0.02261469,3.0226147,0.1021781,1.1021781,0.066989526,-0.93301046,0.085270494,-2.9147296,-0.049105305,-5.0491052
0.790875,0.026795812,3.0267959,-0.062289577,0.9377104,-0.0064090206,-1.006409,-0.014191403,-3.0141914,0.016388781,-4.9836111
0.7955,0.073093355,3.0730934,-0.0315568,0.96844321,0.02188223,-0.97811776,0.019471215,-2.9805288,-0.0040285275,-5.0040283
