split,speaker,noise,noise_group,snr_target_db,candidate_id,family,method,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,processing_ms,rtf
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,-4.999999601441752,4.233054615910164,9.233054217351917,-4.996033177208246,2.1769583280857256,7.172991505293972,12.359300000071016,0.004119766666690339
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,-4.999999601441752,1.9320582461191227,6.932057847560875,-4.996033177208246,-0.05249950362948269,4.943533673578763,7.525799999939409,0.0025085999999798028
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,-4.999999601441752,-4.996977991946051,0.003021609495701405,-4.996033177208246,-10.489699535114454,-5.493666357906208,1.756500000055894,0.0005855000000186313
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,-4.999999601441752,1.582909686222675,6.582909287664427,-4.996033177208246,-1.6466431052436636,3.3493900719645824,13.751499999898442,0.004583833333299481
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,-4.999999601441752,-2.400321206541668,2.599678394900084,-4.996033177208246,-4.334598550454184,0.6614346267540618,7.067699999879551,0.0023558999999598504
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,-4.999999601441752,-4.609523893405788,0.39047570803596443,-4.996033177208246,-4.916035348866391,0.0799978283418552,1.7692999999781023,0.0005897666666593674
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,noisy,baseline,noisy,-4.307004087580629e-07,-4.307004087580629e-07,0.0,0.0025998977736328916,0.0025998977736328916,0.0,0.022400000034394907,7.466666678131635e-06
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,-4.307004087580629e-07,5.878154905771774,5.878155336472183,0.0025998977736328916,5.192304766378121,5.189704868604488,11.944699999958175,0.003981566666652725
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,stft_wiener_default_initial,stft_wiener_default,stft_wiener,-4.307004087580629e-07,5.421719182974698,5.421719613675107,0.0025998977736328916,4.015870466966226,4.013270569192593,7.038199999897188,0.002346066666632396
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,0,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,-4.307004087580629e-07,-0.34663122475936,-0.3466307940589512,0.0025998977736328916,-3.3794656344537137,-3.3820655322273465,2.331400000002759,0.000777133333334253
