amostra,ruido,grupo_ruido,snr_alvo_db,snr_entrada_observado_db,metodo,snr_saida_db,melhoria_snr_db,mse,si_sdr_db,tempo_processamento_s,duracao_audio_s,rtf,latencia_algoritmica_ms,memoria_aproximada_kb
speech_jackson,pcafeter_ch01_seg02,PCAFETER,5,5.0000000010994,stft_subtraction,8.671448533176285,3.6714485320768855,0.0034189992756391437,8.193552655771706,0.007219999999506399,3.0,0.002406666666502133,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,5,5.0000000010994,stft_wiener,7.8974701100494125,2.897470108950013,0.0040859857807208355,7.48207323559712,0.004580100001476239,3.0,0.0015267000004920799,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,5,5.0000000010994,wavelet_soft,5.377535445031578,0.3775354439321781,0.007299453018513912,4.851825632331784,0.0009926999991876073,3.0,0.0003308999997292024,32.0,375.25
speech_jackson,pcafeter_ch01_seg02,PCAFETER,10,10.000000121004195,noisy,10.000000121004195,0.0,0.002517931145359316,10.0177506655378,9.000003046821803e-06,3.0,3.0000010156072676e-06,0.0,187.5
speech_jackson,pcafeter_ch01_seg02,PCAFETER,10,10.000000121004195,stft_subtraction,12.701881648561486,2.7018815275572905,0.0013516233850771713,12.887310577693658,0.007402799994451925,3.0,0.0024675999981506416,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,10,10.000000121004195,stft_wiener,12.516752099806645,2.51675197880245,0.0014104855849750057,12.3546710236909,0.004418600001372397,3.0,0.0014728666671241324,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,10,10.000000121004195,wavelet_soft,10.139876385645138,0.13987626464094305,0.0024381264365824335,9.835443776934845,0.0011318999968352728,3.0,0.0003772999989450909,32.0,375.25
speech_jackson,pcafeter_ch01_seg03,PCAFETER,-5,-4.99999976129681,noisy,-4.99999976129681,0.0,0.0796239719555668,-5.001191364529828,7.399998139590025e-06,3.0,2.4666660465300083e-06,0.0,187.5
speech_jackson,pcafeter_ch01_seg03,PCAFETER,-5,-4.99999976129681,stft_subtraction,-0.4240630688366952,4.5759366924601155,0.02776196287207532,-5.060003233582365,0.008030999997572508,3.0,0.0026769999991908358,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,-5,-4.99999976129681,stft_wiener,-2.12010080811601,2.8798989531808004,0.04102550567791887,-4.725887728368706,0.004607100003340747,3.0,0.0015357000011135824,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,-5,-4.99999976129681,wavelet_soft,-4.639499259681334,0.3605005016154763,0.07328140511498772,-5.681804237852774,0.003986399999121204,3.0,0.001328799999707068,32.0,375.25
speech_jackson,pcafeter_ch01_seg03,PCAFETER,0,1.1859696470395339e-08,noisy,1.1859696470395339e-08,0.0,0.025179312091958762,-0.0005179001887253679,9.900002623908222e-06,3.0,3.300000874636074e-06,0.0,187.5
speech_jackson,pcafeter_ch01_seg03,PCAFETER,0,1.1859696470395339e-08,stft_subtraction,3.7633920907520597,3.7633920788923634,0.010585336118390723,1.6149232914514968,0.009387999998580199,3.0,0.003129333332860066,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,0,1.1859696470395339e-08,stft_wiener,2.614975836122394,2.6149758242626975,0.013789428847704437,1.4586239260764242,0.00487490000523394,3.0,0.0016249666684113133,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,0,1.1859696470395339e-08,wavelet_soft,0.2914263368961224,0.29142632503642596,0.02354513736221084,-0.40082524511041817,0.001361300004646182,3.0,0.000453766668215394,32.0,375.25
speech_jackson,pcafeter_ch01_seg03,PCAFETER,5,5.000000116871415,noisy,5.000000116871415,0.0,0.00796239741704448,4.999861028371672,1.1600001016631722e-05,3.0,3.866667005543907e-06,0.0,187.5
speech_jackson,pcafeter_ch01_seg03,PCAFETER,5,5.000000116871415,stft_subtraction,7.97695519001425,2.976955073142835,0.004011883774032491,7.301881006442695,0.008042699999350589,3.0,0.0026808999997835294,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,5,5.000000116871415,stft_wiener,7.34280589144657,2.3428057745751554,0.00464262143972981,6.868738775923529,0.0047485999966738746,3.0,0.0015828666655579582,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,5,5.000000116871415,wavelet_soft,5.202264888397664,0.20226477152624955,0.007600066164421695,4.766761166916746,0.0011422000025049783,3.0,0.0003807333341683261,32.0,375.25
speech_jackson,pcafeter_ch01_seg03,PCAFETER,10,9.99999997119778,noisy,9.99999997119778,0.0,0.0025179312311955373,10.00007390046952,1.2399999832268804e-05,3.0,4.133333277422935e-06,0.0,187.5
speech_jackson,pcafeter_ch01_seg03,PCAFETER,10,9.99999997119778,stft_subtraction,12.26369061812873,2.26369064693095,0.0014951156938140617,12.369606197134651,0.00800869999511633,3.0,0.002669566665038777,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,10,9.99999997119778,stft_wiener,12.105080137961794,2.1050801667640133,0.0015507287835895328,11.922307126449173,0.004360799997812137,3.0,0.0014535999992707123,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg03,PCAFETER,10,9.99999997119778,wavelet_soft,10.068795801000942,0.06879582980316101,0.002478359375305837,9.805595640407454,0.001131999997596722,3.0,0.0003773333325322407,32.0,375.25
speech_jackson,straffic_ch01_seg01,STRAFFIC,-5,-5.000000301813373,noisy,-5.000000301813373,0.0,0.07962398186669921,-4.966867915616789,7.599999662488699e-06,3.0,2.5333332208295665e-06,0.0,187.5
speech_jackson,straffic_ch01_seg01,STRAFFIC,-5,-5.000000301813373,stft_subtraction,0.42005455184939944,5.420054853662773,0.022858009375854502,-0.28595115260012915,0.008347599999979138,3.0,0.0027825333333263793,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,-5,-5.000000301813373,stft_wiener,-2.4418529019801545,2.558147399833219,0.04418034999523741,-2.543167765988137,0.005157200001121964,3.0,0.0017190666670406547,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,-5,-5.000000301813373,wavelet_soft,-4.9886973890788235,0.011302912734549864,0.07941702255388874,-5.431476116558431,0.0013932000001659617,3.0,0.00046440000005532056,32.0,375.25
speech_jackson,straffic_ch01_seg01,STRAFFIC,0,3.470341701664448e-07,noisy,3.470341701664448e-07,0.0,0.025179310140378254,0.01866004725167984,9.800001862458885e-06,3.0,3.2666672874862948e-06,0.0,187.5
speech_jackson,straffic_ch01_seg01,STRAFFIC,0,3.470341701664448e-07,stft_subtraction,5.348828684999713,5.348828337965543,0.007347862040144996,4.94573117992286,0.007666400000744034,3.0,0.0025554666669146777,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,0,3.470341701664448e-07,stft_wiener,2.537441403718918,2.537441056684748,0.014037821681866333,2.4952351286891954,0.0053079999997862615,3.0,0.001769333333262087,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,0,3.470341701664448e-07,wavelet_soft,-0.0011945000664146262,-0.0011948471005847926,0.025186238525117862,-0.2915687073600391,0.0011754000006476417,3.0,0.00039180000021588057,32.0,375.25
speech_jackson,straffic_ch01_seg01,STRAFFIC,5,4.999999694033753,noisy,4.999999694033753,0.0,0.007962398192046473,5.010510205955127,7.599999662488699e-06,3.0,2.5333332208295665e-06,0.0,187.5
speech_jackson,straffic_ch01_seg01,STRAFFIC,5,4.999999694033753,stft_subtraction,10.260099604946637,5.260099910912884,0.0023715588243291277,10.042196310916932,0.007260300000780262,3.0,0.002420100000260087,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,5,4.999999694033753,stft_wiener,7.513235347839817,2.5132356538060643,0.004463960334663298,7.49775703175083,0.0050612999984878115,3.0,0.0016870999994959373,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,5,4.999999694033753,wavelet_soft,4.977413623334952,-0.02258607069880103,0.008003915581180195,4.780779252509696,0.0013202999980421737,3.0,0.00044009999934739125,32.0,375.25
speech_jackson,straffic_ch01_seg01,STRAFFIC,10,9.999999745181128,noisy,9.999999745181128,0.0,0.002517931364301504,10.00592426219508,1.1800002539530396e-05,3.0,3.933334179843466e-06,0.0,187.5
speech_jackson,straffic_ch01_seg01,STRAFFIC,10,9.999999745181128,stft_subtraction,15.15923684390785,5.159237098726722,0.0007675738622299812,15.051794723349651,0.008247300000221003,3.0,0.0027491000000736676,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,10,9.999999745181128,stft_wiener,12.485667005530903,2.485667260349775,0.0014206175042766954,12.48093211380402,0.004613299999618903,3.0,0.0015377666665396343,32.0,1788.9609375
speech_jackson,straffic_ch01_seg01,STRAFFIC,10,9.999999745181128,wavelet_soft,9.938185602213503,-0.06181414296762533,0.0025540259286414915,9.803772632996463,0.0010623999987728894,3.0,0.00035413333292429644,32.0,375.25
speech_jackson,straffic_ch01_seg02,STRAFFIC,-5,-5.000000113846676,noisy,-5.000000113846676,0.0,0.07962397840140849,-4.772843342752882,1.630000042496249e-05,3.0,5.433333474987497e-06,0.0,187.5
speech_jackson,straffic_ch01_seg02,STRAFFIC,-5,-5.000000113846676,stft_subtraction,0.815167630031566,5.815167743878242,0.020870223482493185,-0.25217916682781855,0.008949399998527952,3.0,0.0029831333328426504,32.0,1788.9609375
speech_jackson,straffic_ch01_seg02,STRAFFIC,-5,-5.000000113846676,stft_wiener,-1.1046210342963156,3.8953790795503602,0.032471770246736836,-1.2317273856845146,0.004944999993313104,3.0,0.001648333331104368,32.0,1788.9609375
speech_jackson,straffic_ch01_seg02,STRAFFIC,-5,-5.000000113846676,wavelet_soft,-4.127619498548371,0.8723806152983054,0.06513370936081682,-5.71891151708837,0.0014314000000013039,3.0,0.00047713333333376795,32.0,375.25
speech_jackson,straffic_ch01_seg02,STRAFFIC,0,6.020552071605346e-08,noisy,6.020552071605346e-08,0.0,0.02517931181182901,0.128885535303421,9.399998816661537e-06,3.0,3.133332938887179e-06,0.0,187.5
speech_jackson,straffic_ch01_seg02,STRAFFIC,0,6.020552071605346e-08,stft_subtraction,5.45198851978377,5.451988459578249,0.007175381726024077,4.785952513424379,0.007456699997419491,3.0,0.002485566665806497,32.0,1788.9609375
speech_jackson,straffic_ch01_seg02,STRAFFIC,0,6.020552071605346e-08,stft_wiener,3.758505183029151,3.7585051228236304,0.01059725400053752,3.6812559509758467,0.005338399998436216,3.0,0.0017794666661454055,32.0,1788.9609375
