block_id,write_us,write_interval_ms,source_ring_before_samples,source_ring_after_samples,driver_depth_before,driver_depth_after
420,0.900000,20.049700,15360,14400,1,2
421,1.000000,20.031900,15360,14400,1,2
422,0.900000,19.193100,15360,14400,1,2
423,1.000000,20.029700,15360,14400,1,2
424,0.900000,20.023900,15360,14400,1,2
425,0.900000,20.023200,15360,14400,1,2
426,0.800000,20.023500,15360,14400,1,2
427,0.600000,20.018400,15360,14400,1,2
428,0.800000,20.033700,15360,14400,1,2
429,0.800000,20.062100,15360,14400,1,2
430,0.900000,20.026200,15360,14400,1,2
431,1.100000,20.023300,15360,14400,1,2
432,1.000000,20.026100,15360,14400,1,2
433,0.800000,20.032900,15360,14400,1,2
434,0.900000,20.129800,15360,14400,1,2
435,1.200000,20.197800,15360,14400,1,2
436,0.900000,20.036900,15360,14880,1,2
437,0.700000,20.056900,15360,14400,1,2
438,0.900000,20.087200,15360,14400,1,2
439,0.900000,20.085500,15360,14400,1,2
440,0.600000,19.020300,15360,14400,1,2
441,0.700000,20.020000,15360,14400,1,2
442,0.900000,20.020400,15360,14400,1,2
443,0.700000,20.044300,15360,14400,1,2
444,1.000000,20.029900,15360,14400,1,2
445,1.000000,20.037100,15360,14400,1,2
446,0.800000,20.150700,15360,14400,1,2
447,1.000000,20.033500,15360,14400,1,2
448,1.200000,20.092400,15360,14400,1,2
449,0.800000,20.020500,15360,14400,1,2
450,0.800000,20.030600,15360,14400,1,2
451,1.400000,20.213700,15360,14400,1,2
452,1.000000,20.026300,15360,14400,1,2
453,0.700000,20.021400,15360,14400,1,2
454,1.800000,20.054200,15360,14400,1,2
455,1.100000,20.125500,15360,14400,1,2
456,1.400000,20.043300,15360,14400,1,2
457,1.100000,19.046500,15360,14400,1,2
458,0.800000,20.036800,15360,14400,1,2
459,1.100000,20.035800,15360,14400,1,2
460,0.900000,20.021200,15360,14400,1,2
461,0.700000,20.032200,15360,14400,1,2
462,1.200000,20.032900,15360,14400,1,2
463,1.300000,20.030700,15360,14400,1,2
464,1.000000,20.053200,15360,14880,1,2
465,0.900000,20.029700,15360,14400,1,2
466,0.800000,20.056000,15360,14400,1,2
467,1.300000,20.149700,15360,14400,1,2
468,0.800000,20.027400,15360,14400,1,2
469,0.900000,20.031500,15360,14400,1,2
470,1.100000,20.083200,15360,14400,1,2
471,0.800000,20.026700,15360,14400,1,2
472,1.100000,20.025600,15360,14400,1,2
473,1.000000,20.037000,15360,14400,1,2
474,0.700000,20.024200,15360,14400,1,2
475,0.800000,20.021000,15360,14400,1,2
476,0.600000,20.043100,15360,14400,1,2
477,0.600000,20.037300,15360,14400,1,2
478,0.900000,20.122500,15360,14400,1,2
479,1.000000,19.082500,15360,14400,1,2
480,1.700000,20.135500,15360,14400,1,2
481,0.600000,20.019700,15360,14400,1,2
482,0.500000,20.109900,15360,14400,1,2
483,0.700000,20.132300,15360,14400,1,2
484,1.000000,20.021600,15360,14400,1,2
485,0.300000,20.018100,15360,14400,1,2
486,0.800000,20.021900,15360,14400,1,2
487,0.800000,20.030000,15360,14400,1,2
488,0.800000,20.021800,15360,14400,1,2
489,1.000000,20.022500,15360,14400,1,2
490,0.800000,20.072300,15360,14400,1,2
491,0.900000,20.035300,15360,14400,1,2
492,0.800000,20.036900,15360,14400,1,2
493,0.800000,20.026000,15360,14400,1,2
494,1.100000,20.040300,15360,14400,1,2
495,0.800000,20.076400,15360,14400,1,2
496,1.200000,19.160000,15360,14400,1,2
497,1.200000,20.034500,15360,14400,1,2
498,1.100000,20.038700,15360,14400,1,2
499,1.000000,20.040700,15360,14400,1,2
500,1.000000,20.024200,15360,14400,1,2
501,0.900000,20.046600,15360,14400,1,2
502,0.800000,20.028400,15360,14400,1,2
503,1.100000,20.025200,15360,14400,1,2
504,1.000000,20.033500,15360,14400,1,2
505,1.000000,20.033800,15360,14400,1,2
506,1.000000,20.171600,15360,14400,1,2
507,1.000000,20.034600,15360,14400,1,2
508,1.100000,20.085800,15360,14400,1,2
509,0.800000,20.080800,15360,14400,1,2
510,1.000000,20.030400,15360,14400,1,2
511,0.900000,20.023200,15360,14400,1,2
512,1.300000,20.070700,15360,14400,1,2
513,0.700000,20.041500,15360,14400,1,2
514,1.100000,20.039300,15360,14400,1,2
515,1.000000,20.018200,15360,14400,1,2
516,0.700000,20.030000,15360,14400,1,2
517,0.800000,19.064000,15360,14400,1,2
518,1.100000,20.042500,15360,14400,1,2
519,1.000000,20.041400,15360,14400,1,2
520,1.300000,20.064500,15360,14400,1,2
521,1.400000,20.042800,15360,14400,1,2
522,1.100000,20.035900,15360,14400,1,2
523,1.100000,20.032400,15360,14400,1,2
524,1.100000,20.031300,15360,14400,1,2
525,0.400000,20.029300,15360,14400,1,2
526,0.900000,20.032600,15360,14400,1,2
527,1.100000,20.058000,15360,14400,1,2
528,1.200000,20.027400,15360,14400,1,2
529,0.600000,20.021300,15360,14400,1,2
530,1.100000,20.080000,15360,14400,1,2
531,0.900000,20.028600,15360,14400,1,2
532,1.000000,20.032300,15360,14400,1,2
533,0.900000,20.042700,15360,14400,1,2
534,0.900000,20.069400,15360,14400,1,2
535,0.900000,20.105200,15360,14880,1,2
536,1.100000,20.034300,15360,14400,1,2
537,1.000000,20.055300,15360,14400,1,2
538,1.200000,20.035500,15360,14400,1,2
539,1.100000,19.057300,15360,14400,1,2
540,0.900000,20.030800,15360,14400,1,2
541,1.100000,20.054900,15360,15360,1,2
542,1.100000,20.063900,15360,14400,1,2
543,1.000000,20.029600,15360,14400,1,2
544,3.500000,20.268200,15360,14400,1,2
545,0.900000,20.252300,15360,14400,1,2
546,1.500000,20.028800,15360,14400,1,2
547,1.200000,20.034400,15360,14400,1,2
548,0.800000,20.057400,15360,14400,1,2
549,1.000000,20.030400,15360,14400,1,2
550,1.100000,20.025600,15360,14400,1,2
551,0.800000,20.041000,15360,14400,1,2
552,0.600000,20.018500,15360,14400,1,2
553,0.700000,19.020900,15360,14400,1,2
554,0.900000,20.020800,15360,14400,1,2
555,0.800000,20.021000,15360,14400,1,2
556,0.700000,20.071300,15360,14400,1,2
557,1.100000,20.027100,15360,14400,1,2
558,1.900000,20.033900,15360,14400,1,2
559,0.900000,20.028900,15360,14400,1,2
560,1.100000,20.035000,15360,14400,1,2
561,1.100000,20.038500,15360,14400,1,2
562,0.900000,20.070800,15360,14400,1,2
563,1.200000,20.026000,15360,14400,1,2
564,0.800000,20.075100,15360,14400,1,2
565,0.800000,20.035300,15360,14400,1,2
566,1.000000,20.024400,15360,14400,1,2
567,0.800000,20.066300,15360,14400,1,2
568,0.900000,20.032200,15360,14400,1,2
569,1.300000,20.064300,15360,14400,1,2
570,1.300000,20.043300,15360,14400,1,2
571,0.700000,20.019200,15360,14400,1,2
572,1.100000,20.028700,15360,14400,1,2
573,1.000000,20.067200,15360,14400,1,2
574,0.700000,20.088800,15360,14400,1,2
575,1.100000,20.038700,15360,14400,1,2
576,0.700000,19.032500,15360,14400,1,2
577,0.800000,20.021900,15360,14400,1,2
