split,speaker,noise,noise_group,snr_target_db,candidate_id,family,execution_mode,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,block_count,block_mean_ms,block_p95_ms,block_p99_ms,block_worst_ms,processing_ms,rtf,state_memory_bytes,speech_block_fraction,warming_blocks
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,subtraction_adaptive_causal,stft_subtraction,causal_blocks,-4.999999673230314,-0.36957818492940103,4.630421488300913,-5.016830452245448,-1.9011755033202296,3.1156549489252185,150,1.6658213333418341,2.6223600005778276,4.208497999597952,5.147700000634359,249.8732000012751,0.0832910666670917,60900,0.23333333333333334,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,wiener_initial_legacy,stft_wiener,offline_file,-4.999999673230314,1.8344269770306085,6.834426650260923,-5.016830452245448,-0.20583947025318705,4.810990981992261,1,5.50680000014836,5.50680000014836,5.50680000014836,5.50680000014836,5.50680000014836,0.0018356000000494532,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,wiener_low_energy_offline,stft_wiener,offline_file,-4.999999673230314,-2.812193218926753,2.187806454303561,-5.016830452245448,-4.802054729471214,0.21477572277423373,1,5.922700000155601,5.922700000155601,5.922700000155601,5.922700000155601,5.922700000155601,0.0019742333333852002,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,wiener_adaptive_causal,stft_wiener,causal_blocks,-4.999999673230314,-3.3664716608052263,1.6335280124250877,-5.016830452245448,-3.679663421491686,1.3371670307537618,150,1.377185999978489,1.9983950001005721,2.5676379998185426,2.6576999998724204,206.57789999677334,0.06885929999892444,60900,0.23333333333333334,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,bypass,baseline,causal_blocks,8.926049463128595e-08,8.926049463128595e-08,0.0,-0.009415215336876831,-0.009415215336876831,0.0,150,0.03547133333995589,0.054614999726254276,0.19003499995960693,0.2592999999251333,5.320700000993384,0.0017735666669977945,57952,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,subtraction_initial_legacy,stft_subtraction,offline_file,8.926049463128595e-08,5.939706332291479,5.939706243030984,-0.009415215336876831,5.390153811837792,5.399569027174669,1,10.21500000024389,10.21500000024389,10.21500000024389,10.21500000024389,10.21500000024389,0.0034050000000812966,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,subtraction_low_energy_offline,stft_subtraction,offline_file,8.926049463128595e-08,5.541810014640881,5.541809925380386,-0.009415215336876831,4.134996316341847,4.144411531678724,1,10.747100000116916,10.747100000116916,10.747100000116916,10.747100000116916,10.747100000116916,0.0035823666667056386,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,subtraction_calibration_causal,stft_subtraction,causal_blocks,8.926049463128595e-08,3.5325047359910644,3.53250464673057,-0.009415215336876831,1.0294863406776056,1.0389015560144823,150,0.7823353333333216,1.2420050003584027,1.5600859997812202,2.1275999997669715,117.35029999999824,0.03911676666666608,60900,0.0,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,subtraction_adaptive_causal,stft_subtraction,causal_blocks,8.926049463128595e-08,4.25150486095243,4.251504771691935,-0.009415215336876831,3.0651959822714647,3.0746111976083417,150,1.8050179999954707,2.5848699998732627,2.820915000347666,3.3554000001458917,270.7526999993206,0.09025089999977354,60900,0.26,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,wiener_initial_legacy,stft_wiener,offline_file,8.926049463128595e-08,5.350773194857514,5.350773105597019,-0.009415215336876831,3.9221634352421253,3.9315786505790022,1,6.287199999860604,6.287199999860604,6.287199999860604,6.287199999860604,6.287199999860604,0.002095733333286868,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,wiener_low_energy_offline,stft_wiener,offline_file,8.926049463128595e-08,2.6627970504287357,2.662796961168241,-0.009415215336876831,1.5870347300921308,1.5964499454290075,1,4.8790000000735745,4.8790000000735745,4.8790000000735745,4.8790000000735745,4.8790000000735745,0.0016263333333578582,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,wiener_adaptive_causal,stft_wiener,causal_blocks,8.926049463128595e-08,1.6075891528111148,1.6075890635506203,-0.009415215336876831,1.3341300845460378,1.3435452998829145,150,1.4576200000131696,1.9070400000146033,2.2830460002933224,2.8004000005239504,218.64300000197545,0.07288100000065849,60900,0.26,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,bypass,baseline,causal_blocks,5.000000245111636,5.000000245111636,0.0,4.994752183499897,4.994752183499897,0.0,150,0.029358666633925168,0.036299999919719994,0.04440800020347523,0.05560000045079505,4.403799995088775,0.0014679333316962584,57952,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,subtraction_initial_legacy,stft_subtraction,offline_file,5.000000245111636,6.591150096765121,1.5911498516534852,4.994752183499897,6.874938614816706,1.880186431316809,1,9.004900000036287,9.004900000036287,9.004900000036287,9.004900000036287,9.004900000036287,0.003001633333345429,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,subtraction_low_energy_offline,stft_subtraction,offline_file,5.000000245111636,9.414170236576238,4.414169991464602,4.994752183499897,9.701568522443097,4.7068163389432,1,7.879900000261841,7.879900000261841,7.879900000261841,7.879900000261841,7.879900000261841,0.0026266333334206138,0,0.0,0
